analysis,gene_type,cell_type,value
Logistic Regression,Basophil Prog Genes,Basophil,0.76
Logistic Regression,Basophil Prog Genes,Basophil,0.66
Logistic Regression,Basophil Prog Genes,Basophil,0.59
Logistic Regression,Basophil Prog Genes,Basophil,0.69
Logistic Regression,Basophil Prog Genes,Basophil,0.74
Logistic Regression,Basophil Prog Genes,Basophil,0.67
Logistic Regression,Basophil Prog Genes,Basophil,0.6
Logistic Regression,Basophil Prog Genes,Basophil,0.68
Logistic Regression,Basophil Prog Genes,Basophil,0.7
Logistic Regression,Basophil Prog Genes,Basophil,0.68
Logistic Regression,Basophil Prog Genes,Basophil,0.71
Logistic Regression,Basophil Prog Genes,Basophil,0.68
Logistic Regression,Basophil Prog Genes,Basophil,0.75
Logistic Regression,Basophil Prog Genes,Basophil,0.69
Logistic Regression,Basophil Prog Genes,Basophil,0.71
Logistic Regression,Basophil Prog Genes,Basophil,0.53
Logistic Regression,Basophil Prog Genes,Basophil,0.7
Logistic Regression,Basophil Prog Genes,Basophil,0.71
Logistic Regression,Basophil Prog Genes,Basophil,0.68
Logistic Regression,Basophil Prog Genes,Basophil,0.66
Logistic Regression,Basophil Prog Genes,Basophil,0.72
Logistic Regression,Basophil Prog Genes,Basophil,0.5
Logistic Regression,Basophil Prog Genes,Basophil,0.67
Logistic Regression,Basophil Prog Genes,Basophil,0.71
Logistic Regression,Basophil Prog Genes,Basophil,0.69
Logistic Regression,Basophil Prog Genes,Basophil,0.74
Logistic Regression,Basophil Prog Genes,Basophil,0.62
Logistic Regression,Basophil Prog Genes,Basophil,0.71
Logistic Regression,Basophil Prog Genes,Basophil,0.74
Logistic Regression,Basophil Prog Genes,Basophil,0.73
Logistic Regression,Basophil Prog Genes,Basophil,0.72
Logistic Regression,Basophil Prog Genes,Basophil,0.61
Logistic Regression,Basophil Prog Genes,Basophil,0.73
Logistic Regression,Basophil Prog Genes,Basophil,0.66
Logistic Regression,Basophil Prog Genes,Basophil,0.72
Logistic Regression,Basophil Prog Genes,Basophil,0.61
Logistic Regression,Basophil Prog Genes,Basophil,0.73
Logistic Regression,Basophil Prog Genes,Basophil,0.64
Logistic Regression,Basophil Prog Genes,Basophil,0.77
Logistic Regression,Basophil Prog Genes,Basophil,0.59
Logistic Regression,Basophil Prog Genes,Basophil,0.79
Logistic Regression,Basophil Prog Genes,Basophil,0.74
Logistic Regression,Basophil Prog Genes,Basophil,0.61
Logistic Regression,Basophil Prog Genes,Basophil,0.73
Logistic Regression,Basophil Prog Genes,Basophil,0.77
Logistic Regression,Basophil Prog Genes,Basophil,0.68
Logistic Regression,Basophil Prog Genes,Basophil,0.74
Logistic Regression,Basophil Prog Genes,Basophil,0.68
Logistic Regression,Basophil Prog Genes,Basophil,0.74
Logistic Regression,Basophil Prog Genes,Basophil,0.68
Logistic Regression,Basophil Prog Genes,Lymphoid,0.4
Logistic Regression,Basophil Prog Genes,Lymphoid,0.5
Logistic Regression,Basophil Prog Genes,Lymphoid,0.72
Logistic Regression,Basophil Prog Genes,Lymphoid,0.22
Logistic Regression,Basophil Prog Genes,Lymphoid,0.59
Logistic Regression,Basophil Prog Genes,Lymphoid,0.4
Logistic Regression,Basophil Prog Genes,Lymphoid,0.36
Logistic Regression,Basophil Prog Genes,Lymphoid,0.53
Logistic Regression,Basophil Prog Genes,Lymphoid,0.7
Logistic Regression,Basophil Prog Genes,Lymphoid,0.8
Logistic Regression,Basophil Prog Genes,Lymphoid,0.36
Logistic Regression,Basophil Prog Genes,Lymphoid,0.4
Logistic Regression,Basophil Prog Genes,Lymphoid,0.67
Logistic Regression,Basophil Prog Genes,Lymphoid,0.5
Logistic Regression,Basophil Prog Genes,Lymphoid,0.22
Logistic Regression,Basophil Prog Genes,Lymphoid,0.31
Logistic Regression,Basophil Prog Genes,Lymphoid,0.62
Logistic Regression,Basophil Prog Genes,Lymphoid,0.59
Logistic Regression,Basophil Prog Genes,Lymphoid,0.4
Logistic Regression,Basophil Prog Genes,Lymphoid,0.32
Logistic Regression,Basophil Prog Genes,Lymphoid,0.5
Logistic Regression,Basophil Prog Genes,Lymphoid,0.59
Logistic Regression,Basophil Prog Genes,Lymphoid,0.5
Logistic Regression,Basophil Prog Genes,Lymphoid,0.18
Logistic Regression,Basophil Prog Genes,Lymphoid,0.36
Logistic Regression,Basophil Prog Genes,Lymphoid,0.56
Logistic Regression,Basophil Prog Genes,Lymphoid,0.57
Logistic Regression,Basophil Prog Genes,Lymphoid,0.67
Logistic Regression,Basophil Prog Genes,Lymphoid,0.53
Logistic Regression,Basophil Prog Genes,Lymphoid,0.67
Logistic Regression,Basophil Prog Genes,Lymphoid,0.59
Logistic Regression,Basophil Prog Genes,Lymphoid,0.67
Logistic Regression,Basophil Prog Genes,Lymphoid,0.62
Logistic Regression,Basophil Prog Genes,Lymphoid,0.59
Logistic Regression,Basophil Prog Genes,Lymphoid,0.25
Logistic Regression,Basophil Prog Genes,Lymphoid,0.46
Logistic Regression,Basophil Prog Genes,Lymphoid,0.47
Logistic Regression,Basophil Prog Genes,Lymphoid,0.62
Logistic Regression,Basophil Prog Genes,Lymphoid,0.4
Logistic Regression,Basophil Prog Genes,Lymphoid,0.67
Logistic Regression,Basophil Prog Genes,Lymphoid,0.22
Logistic Regression,Basophil Prog Genes,Lymphoid,0.62
Logistic Regression,Basophil Prog Genes,Lymphoid,0.55
Logistic Regression,Basophil Prog Genes,Lymphoid,0.33
Logistic Regression,Basophil Prog Genes,Lymphoid,0.6
Logistic Regression,Basophil Prog Genes,Lymphoid,0.82
Logistic Regression,Basophil Prog Genes,Lymphoid,0.5
Logistic Regression,Basophil Prog Genes,Lymphoid,0.62
Logistic Regression,Basophil Prog Genes,Lymphoid,0.37
Logistic Regression,Basophil Prog Genes,Lymphoid,0.67
Logistic Regression,Basophil Prog Genes,Mastocyte,0.62
Logistic Regression,Basophil Prog Genes,Mastocyte,0.5
Logistic Regression,Basophil Prog Genes,Mastocyte,0.29
Logistic Regression,Basophil Prog Genes,Mastocyte,0.6
Logistic Regression,Basophil Prog Genes,Mastocyte,0.78
Logistic Regression,Basophil Prog Genes,Mastocyte,0.57
Logistic Regression,Basophil Prog Genes,Mastocyte,0.43
Logistic Regression,Basophil Prog Genes,Mastocyte,0.63
Logistic Regression,Basophil Prog Genes,Mastocyte,0.5
Logistic Regression,Basophil Prog Genes,Mastocyte,0.5
Logistic Regression,Basophil Prog Genes,Mastocyte,0.13
Logistic Regression,Basophil Prog Genes,Mastocyte,0.64
Logistic Regression,Basophil Prog Genes,Mastocyte,0.6
Logistic Regression,Basophil Prog Genes,Mastocyte,0.33
Logistic Regression,Basophil Prog Genes,Mastocyte,0.35
Logistic Regression,Basophil Prog Genes,Mastocyte,0.29
Logistic Regression,Basophil Prog Genes,Mastocyte,0.22
Logistic Regression,Basophil Prog Genes,Mastocyte,0.74
Logistic Regression,Basophil Prog Genes,Mastocyte,0.52
Logistic Regression,Basophil Prog Genes,Mastocyte,0.36
Logistic Regression,Basophil Prog Genes,Mastocyte,0.0
Logistic Regression,Basophil Prog Genes,Mastocyte,0.62
Logistic Regression,Basophil Prog Genes,Mastocyte,0.46
Logistic Regression,Basophil Prog Genes,Mastocyte,0.55
Logistic Regression,Basophil Prog Genes,Mastocyte,0.67
Logistic Regression,Basophil Prog Genes,Mastocyte,0.82
Logistic Regression,Basophil Prog Genes,Mastocyte,0.31
Logistic Regression,Basophil Prog Genes,Mastocyte,0.67
Logistic Regression,Basophil Prog Genes,Mastocyte,0.43
Logistic Regression,Basophil Prog Genes,Mastocyte,0.63
Logistic Regression,Basophil Prog Genes,Mastocyte,0.46
Logistic Regression,Basophil Prog Genes,Mastocyte,0.25
Logistic Regression,Basophil Prog Genes,Mastocyte,0.71
Logistic Regression,Basophil Prog Genes,Mastocyte,0.44
Logistic Regression,Basophil Prog Genes,Mastocyte,0.57
