WT1_mRNA WT2_mRNA Mut1_mRNA Mut2_mRNA WT1_total_RNA WT2_total_RNA Mut1_total_RNA Mut2_total_RNA
ENSMUSG00000090025 0 0 0 0 0 0 0 0
ENSMUSG00000064842 0 0 0 0 0 0 0 0
ENSMUSG00000051951 0 0 0 0 0 0 0 0
ENSMUSG00000089699 0 0 0 0 0 0 0 0
ENSMUSG00000088390 0 0 0 0 0 0 0 0
ENSMUSG00000089420 0 0 0 0 0 0 0 0
ENSMUSG00000025900 0 0 0 0 0 0 0 0
ENSMUSG00000025902 19 0 0 7 0 0 0 1
ENSMUSG00000064376 0 0 0 0 0 0 1 0
ENSMUSG00000088000 0 0 6 0 0 0 0 0
ENSMUSG00000033845 2020 1650 2011 1807 41 24 36 41
ENSMUSG00000025903 2433 2430 2607 2691 46 41 46 40
ENSMUSG00000033813 960 646 1053 860 13 18 21 17
ENSMUSG00000062588 2479 2009 1318 1209 24 20 17 21
ENSMUSG00000002459 0 0 0 0 0 0 0 1
ENSMUSG00000091305 0 0 0 0 0 0 0 0
ENSMUSG00000085623 0 0 0 0 0 0 0 0
ENSMUSG00000091665 0 0 0 0 0 0 0 0
ENSMUSG00000033793 1845 1479 1849 1767 25 40 35 41
ENSMUSG00000025905 0 0 0 0 0 0 0 0
ENSMUSG00000093015 0 0 0 0 0 0 0 0
ENSMUSG00000033774 0 0 0 0 0 0 0 0
ENSMUSG00000025907 1653 2461 1796 2669 39 64 57 87
ENSMUSG00000090031 21 44 37 53 1 3 2 3
ENSMUSG00000073741 0 0 0 6 2 0 1 1
ENSMUSG00000087247 0 0 0 0 0 0 0 0
ENSMUSG00000033740 8 9 0 0 0 0 0 0
ENSMUSG00000051285 1761 2094 1312 1765 30 34 26 23
ENSMUSG00000048538 548 387 292 387 11 11 6 8
ENSMUSG00000077244 0 0 0 0 0 0 0 0
ENSMUSG00000086461 19 40 9 20 0 0 2 0
ENSMUSG00000025909 0 0 0 0 0 0 0 0
ENSMUSG00000086235 5 6 15 1 0 0 0 0
ENSMUSG00000076169 0 0 0 0 0 0 0 0
ENSMUSG00000084353 648 502 599 377 8 3 9 8
ENSMUSG00000076135 1 0 1 0 0 0 0 0
ENSMUSG00000086195 0 0 0 0 0 0 0 0
ENSMUSG00000066693 0 1 0 0 0 0 0 0
ENSMUSG00000065625 0 0 0 0 0 0 0 0
ENSMUSG00000061024 4419 3126 3461 2961 68 82 53 78
ENSMUSG00000025911 10 17 27 33 1 2 5 0
ENSMUSG00000079671 0 0 14 19 0 0 0 1
ENSMUSG00000081441 18 6 11 0 0 2 0 1
ENSMUSG00000067879 0 0 0 0 0 0 0 0
ENSMUSG00000025912 193 327 249 234 4 5 4 6
ENSMUSG00000045210 3349 4803 4061 5026 83 76 104 118
ENSMUSG00000085661 15 4 0 8 1 0 0 0
ENSMUSG00000025915 1890 1923 950 904 24 28 19 16
ENSMUSG00000046334 110 55 128 81 2 4 2 3
ENSMUSG00000088916 10 0 0 0 0 0 0 0
ENSMUSG00000046101 72 61 82 42 6 4 2 4
ENSMUSG00000093178 84 60 72 126 0 2 1 2
ENSMUSG00000073738 0 0 0 21 1 0 0 0
ENSMUSG00000025916 0 3 6 7 0 0 0 0
