Peak_Chr	Peak_Start	Peak_End	Feature_Chr	Feature_RegulatoryRegion_Begin	Feature_RegulatoryRegion_End	Feature_Name	FeatureOverlapToPeak
chr1	4486420	4486729	chr1	4485871	4491494	Sox17	309
chr1	5073013	5073365	chr1	5068253	5073753	Atp6v1h	352
chr1	7078830	7079627	chr1	7074000	7079500	Pcmtd1	670
chr1	9837130	9837412	chr1	9833361	9838861	Sgk3	282
chr1	9933817	9934416	chr1	9932050	9937624	Snord87	599
chr1	9933817	9934416	chr1	9933600	9939199	Snhg6	599
chr1	10027888	10028758	chr1	10027250	10032979	Cops5	870
chr1	10027888	10028758	chr1	10023298	10028798	Cspp1	870
chr1	13579826	13580587	chr1	13579180	13584945	Tram1	761
chr1	13583254	13584190	chr1	13579180	13584945	Tram1	936
chr1	13649944	13651060	chr1	13649909	13655590	Lactb2	1116
chr1	16094196	16095184	chr1	16090962	16096462	Rdh10	988
chr1	16094196	16095184	chr1	16093945	16099514	Rpl7	988
chr1	16646393	16647841	chr1	16646402	16651946	Tceb1	1439
chr1	16678421	16679186	chr1	16673536	16679036	Ly96	615
chr1	20715671	20716002	chr1	20715985	20721485	Il17a	17
chr1	20810235	20810760	chr1	20809711	20815294	Mcm3	525
chr1	20814924	20815456	chr1	20809711	20815294	Mcm3	370
chr1	20880434	20880829	chr1	20875702	20881202	Paqr8	395
chr1	21069342	21069852	chr1	21068574	21074290	Tram2	510
chr1	21069342	21069852	chr1	21068574	21074306	Tram2	510
chr1	23390258	23390574	chr1	23389153	23395014	Ogfrl1	316
chr1	23930514	23931673	chr1	23928376	23934128	Smap1	1159
chr1	31006634	31007261	chr1	31005893	31011555	Gm13363	627
chr1	31006634	31007261	chr1	31005893	31011600	Ptp4a1	627
chr1	33870280	33870719	chr1	33870682	33876272	Zfp451	37
chr1	33966081	33966348	chr1	33963910	33969466	Bend6	267
chr1	34491582	34492061	chr1	34491673	34497173	Imp4	388
chr1	34899735	34900082	chr1	34899172	34904895	Fam168b	347
chr1	36300986	36301309	chr1	36300414	36306147	Uggt1	323
chr1	36330160	36330676	chr1	36329682	36335270	Neurl3	516
chr1	36363973	36364497	chr1	36359577	36365077	Arid5a	524
chr1	36364730	36365213	chr1	36359577	36365077	Arid5a	347
chr1	36425540	36426190	chr1	36425449	36431026	4632411B12Rik	650
chr1	36568529	36568933	chr1	36563720	36569220	Cnnm3	404
chr1	36748003	36748499	chr1	36743331	36748831	Cox5b	496
chr1	37486347	37487711	chr1	37482016	37487516	Unc50	1169
chr1	37486347	37487711	chr1	37486213	37491948	6330578E17Rik	1364
chr1	37921517	37922406	chr1	37921367	37926924	Tsga10	889
chr1	37928906	37929337	chr1	37924050	37929550	Lipt1	431
chr1	37946061	37946385	chr1	37942397	37947897	Mrpl30	324
chr1	37947175	37947645	chr1	37946504	37952256	Mitd1	470
chr1	37947175	37947645	chr1	37942397	37947897	Mrpl30	470
chr1	38058790	38059133	chr1	38053453	38059053	Txndc9	263
chr1	38186484	38187351	chr1	38185806	38191507	Rev1	867
chr1	39592844	39593132	chr1	39587646	39593146	D1Bwg0212e	288
chr1	39634111	39634602	chr1	39633171	39639192	Rnf149	491
chr1	39952402	39953146	chr1	39952757	39958257	Map4k4	389
chr1	39953410	39953708	chr1	39952757	39958257	Map4k4	298
chr1	40522351	40522714	chr1	40517850	40523350	Il18r1	363
chr1	40522351	40522714	chr1	40517396	40522896	Il18r1	363
chr1	40522351	40522714	chr1	40517465	40522965	Il18r1	363
chr1	40572032	40572418	chr1	40567206	40572706	Il18rap	386
chr1	43155099	43155809	chr1	43150554	43156054	AI597479	710
chr1	43155099	43155809	chr1	43154614	43160467	Tgfbrap1	710
chr1	43884403	43885049	chr1	43883959	43889553	Uxs1	646
chr1	43989852	43990978	chr1	43985851	43991351	Tpp2	1126
chr1	44158265	44159625	chr1	44158672	44164233	1700029F09Rik	953
chr1	44179040	44179516	chr1	44174662	44180618	Kdelc1	476
chr1	45852123	45852773	chr1	45847345	45852845	Wdr75	650
chr1	46908853	46909955	chr1	46909815	46915354	Slc39a10	140
chr1	52175987	52176381	chr1	52171281	52176781	Stat1	394
chr1	52557570	52557872	chr1	52556553	52562292	Nab1	302
chr1	52687392	52688150	chr1	52682548	52688048	Tmem194b	656
chr1	53353723	53354458	chr1	53348938	53354438	Ormdl1	715
chr1	53353723	53354458	chr1	53353229	53358840	Pms1	735
chr1	53841045	53842273	chr1	53841417	53847059	Stk17b	856
chr1	55084193	55084635	chr1	55083682	55089322	Sf3b1	442
